tau_min,trades,pnl,win_rate,avg_edge
1,61,-927.4600000000003,0.09836065573770492,0.09334601530086174
2,79,327.6200000000001,0.26582278481012656,0.058939074470398006
3,79,696.18,0.27848101265822783,0.05755069371997646
4,113,434.83000000000027,0.3008849557522124,0.049015120532918705
5,123,1756.1799999999998,0.3821138211382114,0.050576924372403506
6,144,6150.0199999999995,0.5,0.046388228325871424
7,177,2513.9100000000003,0.5310734463276836,0.04783119463727885
8,230,3858.8740000000003,0.5782608695652174,0.04590377794897068
9,258,-1382.0700000000006,0.5581395348837209,0.049252342794666705
10,349,-592.0500000000005,0.6074498567335244,0.05068467833035928
11,505,2517.7099999999996,0.6475247524752475,0.04958803272311269
12,640,-4905.688000000001,0.6078125,0.048825682230295944
13,841,6318.499999999999,0.6159334126040428,0.051230129780144636
14,1471,28139.999999999996,0.5880353501019715,0.057032298262086514
