band,timing,trades,pnl,per_contract,win_rate,avg_price,sharpe,max_dd
cheap 0.10-0.30,very early (tau>=12),218,8771.0,0.0805,0.3394,0.246,5.96,-0.122
cheap 0.10-0.30,early (tau>=10),407,9143.0,0.0449,0.2973,0.24,4.56,-0.161
cheap 0.10-0.30,first half (tau>=8),684,5974.0,0.0175,0.2617,0.232,2.58,-0.172
cheap 0.10-0.30,any time (tau>=1),1927,21760.0,0.0226,0.2465,0.212,5.82,-0.294
target 0.15-0.35,very early (tau>=12),350,5515.0,0.0315,0.3314,0.286,3.19,-0.149
target 0.15-0.35,early (tau>=10),587,6533.0,0.0223,0.3152,0.279,2.68,-0.23
target 0.15-0.35,first half (tau>=8),876,3089.0,0.0071,0.2922,0.271,1.03,-0.249
target 0.15-0.35,any time (tau>=1),1979,23437.0,0.0237,0.2931,0.256,5.69,-0.301
underdog 0.15-0.50,very early (tau>=12),1112,19346.0,0.0353,0.4586,0.406,5.76,-0.184
underdog 0.15-0.50,early (tau>=10),1474,22862.0,0.0313,0.4471,0.399,5.33,-0.193
underdog 0.15-0.50,first half (tau>=8),1831,19705.0,0.0217,0.4271,0.388,4.64,-0.223
underdog 0.15-0.50,any time (tau>=1),2861,36722.0,0.026,0.3999,0.358,7.38,-0.32
all under 0.50,very early (tau>=12),1118,19138.0,0.0347,0.4562,0.404,5.69,-0.177
all under 0.50,early (tau>=10),1486,22319.0,0.0303,0.4435,0.396,5.21,-0.193
all under 0.50,first half (tau>=8),1869,21419.0,0.0231,0.4222,0.383,5.04,-0.219
all under 0.50,any time (tau>=1),3305,33914.0,0.0207,0.3516,0.317,6.55,-0.33
baseline (no cap),very early (tau>=12),2952,28720.0,0.0212,0.6003,0.564,5.53,-0.365
baseline (no cap),early (tau>=10),3806,30635.0,0.0172,0.6072,0.575,5.22,-0.375
baseline (no cap),first half (tau>=8),4294,33077.0,0.0164,0.6027,0.571,5.2,-0.432
baseline (no cap),any time (tau>=1),5064,44267.0,0.0184,0.5693,0.536,6.59,-0.421
