min_edge,kelly,n_trades,total_pnl,return,sharpe,max_dd,win_rate,p_positive
0.02,0.15,16623,92491.19,9.2491,4.205,-0.5736,0.5687,0.9995
0.02,0.25,16623,92665.81,9.2666,4.154,-0.6128,0.5687,0.9995
0.02,0.4,16623,93351.26,9.3351,4.178,-0.6124,0.5687,0.9995
0.03,0.15,13059,107924.73,10.7925,5.345,-0.509,0.5767,1.0
0.03,0.25,13059,106528.68,10.6529,5.272,-0.546,0.5767,1.0
0.03,0.4,13059,106495.42,10.6495,5.271,-0.5466,0.5767,1.0
0.04,0.15,9885,105118.61,10.5119,6.194,-0.5488,0.5737,1.0
0.04,0.25,9885,105028.68,10.5029,6.175,-0.575,0.5737,1.0
0.04,0.4,9885,105028.68,10.5029,6.175,-0.575,0.5737,1.0
0.05,0.15,7267,108885.88,10.8886,6.983,-0.3299,0.5625,1.0
0.05,0.25,7267,108897.38,10.8897,6.984,-0.3299,0.5625,1.0
0.05,0.4,7267,108897.38,10.8897,6.984,-0.3299,0.5625,1.0
0.07,0.15,3920,82064.59,8.2065,7.137,-0.2853,0.5339,1.0
0.07,0.25,3920,82064.59,8.2065,7.137,-0.2853,0.5339,1.0
0.07,0.4,3920,82064.59,8.2065,7.137,-0.2853,0.5339,1.0
