bucket,n,predicted,actual
"(0.009000000000000001, 0.0321]",30335,0.01368537478232767,0.011307071040052744
"(0.0321, 0.152]",30496,0.08687652978546445,0.09335650577124868
"(0.152, 0.28]",30219,0.21785919647068092,0.22330321982858467
"(0.28, 0.393]",30395,0.3409024392408228,0.34370784668531007
"(0.393, 0.494]",30447,0.44916169940354805,0.4490097546556311
"(0.494, 0.597]",30892,0.5468263615084418,0.5424705425352843
"(0.597, 0.715]",29490,0.6550881384288414,0.6543913190912174
"(0.715, 0.847]",30391,0.7817922370221593,0.7763811654766214
"(0.847, 0.967]",30493,0.9137071161575353,0.9083396189289346
"(0.967, 0.99]",30069,0.9869542448924842,0.989125012471316
