ts,window_open,close_time,side,price,contracts,p_model,market_mid,edge,tau_min,fee,result,pnl,bankroll_after
2025-12-31 23:04:00+00:00,2025-12-31 23:00:00+00:00,2025-12-31 23:15:00+00:00,no,0.81,246,0.13904761904761903,0.195,0.03095238095238086,10,2.66,0,44.079999999999984,10044.08
2025-12-31 23:23:00+00:00,2025-12-31 23:15:00+00:00,2025-12-31 23:30:00+00:00,no,0.6799999999999999,295,0.2602545968882603,0.325,0.0397454031117397,6,4.5,0,89.9,10133.98
2025-12-31 23:34:00+00:00,2025-12-31 23:30:00+00:00,2025-12-31 23:45:00+00:00,no,0.45999999999999996,440,0.4805194805194805,0.545,0.03948051948051946,10,7.66,1,-210.05999999999997,9923.92
2026-01-01 00:25:00+00:00,2026-01-01 00:15:00+00:00,2026-01-01 00:30:00+00:00,yes,0.8300000000000001,239,0.8865814696485623,0.8250000000000001,0.04658146964856225,4,2.37,1,38.26,9962.18
2026-01-01 00:42:00+00:00,2026-01-01 00:30:00+00:00,2026-01-01 00:45:00+00:00,no,0.6499999999999999,306,0.2602545968882603,0.35500000000000004,0.06974540311173973,2,4.88,0,102.22000000000003,10064.4
2026-01-01 01:04:00+00:00,2026-01-01 01:00:00+00:00,2026-01-01 01:15:00+00:00,yes,0.8400000000000001,239,0.8865814696485623,0.8350000000000001,0.036581469648562244,10,2.25,1,35.98999999999998,10100.39
2026-01-01 01:15:00+00:00,2026-01-01 01:15:00+00:00,2026-01-01 01:30:00+00:00,no,0.29000000000000004,500,0.641638225255973,0.715,0.048361774744026934,14,7.21,0,347.79,10448.18
2026-01-01 01:43:00+00:00,2026-01-01 01:30:00+00:00,2026-01-01 01:45:00+00:00,yes,0.7100000000000001,294,0.7711487088156723,0.7050000000000001,0.041148708815672244,1,4.24,1,81.02,10529.2
2026-01-01 02:02:00+00:00,2026-01-01 02:00:00+00:00,2026-01-01 02:15:00+00:00,no,0.6799999999999999,309,0.2602545968882603,0.325,0.0397454031117397,12,4.71,1,-214.82999999999998,10314.37
2026-01-01 02:23:00+00:00,2026-01-01 02:15:00+00:00,2026-01-01 02:30:00+00:00,no,0.6799999999999999,303,0.2602545968882603,0.325,0.0397454031117397,6,4.62,0,92.34,10406.710000000001
2026-01-01 02:39:00+00:00,2026-01-01 02:30:00+00:00,2026-01-01 02:45:00+00:00,yes,0.8400000000000001,247,0.8865814696485623,0.8350000000000001,0.036581469648562244,5,2.33,0,-209.81000000000003,10196.900000000001
2026-01-01 03:11:00+00:00,2026-01-01 03:00:00+00:00,2026-01-01 03:15:00+00:00,yes,0.6900000000000001,295,0.7529761904761905,0.685,0.042976190476190404,3,4.42,1,87.02999999999999,10283.930000000002
2026-01-01 03:41:00+00:00,2026-01-01 03:30:00+00:00,2026-01-01 03:45:00+00:00,yes,0.85,241,0.9059674502712477,0.845,0.04596745027124772,3,2.16,1,33.99000000000001,10317.920000000002
2026-01-01 04:00:00+00:00,2026-01-01 04:00:00+00:00,2026-01-01 04:15:00+00:00,yes,0.4,500,0.45614035087719296,0.395,0.03614035087719293,14,8.4,0,-208.4,10109.520000000002
2026-01-01 04:15:00+00:00,2026-01-01 04:15:00+00:00,2026-01-01 04:30:00+00:00,yes,0.4,500,0.473342939481268,0.395,0.05334293948126796,14,8.4,0,-208.4,9901.120000000003
2026-01-01 04:35:00+00:00,2026-01-01 04:30:00+00:00,2026-01-01 04:45:00+00:00,yes,0.41000000000000003,482,0.473342939481268,0.405,0.04334293948126795,9,8.17,0,-205.79,9695.330000000002
2026-01-01 04:48:00+00:00,2026-01-01 04:45:00+00:00,2026-01-01 05:00:00+00:00,yes,0.6900000000000001,281,0.7529761904761905,0.685,0.042976190476190404,11,4.21,1,82.89999999999999,9778.230000000001
2026-01-01 05:02:00+00:00,2026-01-01 05:00:00+00:00,2026-01-01 05:15:00+00:00,yes,0.8400000000000001,232,0.8865814696485623,0.8350000000000001,0.036581469648562244,12,2.19,1,34.92999999999998,9813.160000000002
2026-01-01 05:16:00+00:00,2026-01-01 05:15:00+00:00,2026-01-01 05:30:00+00:00,yes,0.7000000000000001,280,0.7529761904761905,0.6950000000000001,0.032976190476190395,13,4.12,1,79.87999999999997,9893.04
2026-01-01 05:41:00+00:00,2026-01-01 05:30:00+00:00,2026-01-01 05:45:00+00:00,yes,0.56,353,0.6198347107438018,0.555,0.03983471074380175,3,6.09,1,149.23,10042.27
2026-01-01 05:58:00+00:00,2026-01-01 05:45:00+00:00,2026-01-01 06:00:00+00:00,no,0.69,291,0.2447058823529412,0.315,0.04529411764705883,1,4.36,0,85.85000000000001,10128.12
2026-01-01 06:02:00+00:00,2026-01-01 06:00:00+00:00,2026-01-01 06:15:00+00:00,yes,0.18000000000000002,500,0.23409090909090913,0.17500000000000002,0.0340909090909091,12,5.17,0,-95.17000000000002,10032.95
2026-01-01 06:17:00+00:00,2026-01-01 06:15:00+00:00,2026-01-01 06:30:00+00:00,yes,0.55,364,0.6198347107438018,0.545,0.04983471074380176,12,6.31,1,157.48999999999998,10190.44
2026-01-01 06:30:00+00:00,2026-01-01 06:30:00+00:00,2026-01-01 06:45:00+00:00,yes,0.48000000000000004,424,0.5415204678362572,0.47500000000000003,0.04152046783625714,14,7.41,1,213.07,10403.51
2026-01-01 06:45:00+00:00,2026-01-01 06:45:00+00:00,2026-01-01 07:00:00+00:00,yes,0.53,392,0.6198347107438018,0.525,0.06983471074380178,14,6.84,0,-214.60000000000002,10188.91
2026-01-01 07:00:00+00:00,2026-01-01 07:00:00+00:00,2026-01-01 07:15:00+00:00,yes,0.6900000000000001,295,0.7584905660377359,0.685,0.04849056603773584,14,4.42,0,-207.97,9980.94
2026-01-01 07:32:00+00:00,2026-01-01 07:30:00+00:00,2026-01-01 07:45:00+00:00,yes,0.8300000000000001,240,0.8865814696485623,0.8250000000000001,0.04658146964856225,12,2.38,1,38.41999999999998,10019.36
2026-01-01 07:58:00+00:00,2026-01-01 07:45:00+00:00,2026-01-01 08:00:00+00:00,no,0.71,282,0.23026315789473684,0.295,0.039736842105263195,1,4.07,0,77.71000000000001,10097.07
2026-01-01 08:16:00+00:00,2026-01-01 08:15:00+00:00,2026-01-01 08:30:00+00:00,no,0.42999999999999994,469,0.48760362407472824,0.5750000000000001,0.06239637592527182,13,8.05,0,259.28000000000003,10356.35
2026-01-01 08:39:00+00:00,2026-01-01 08:30:00+00:00,2026-01-01 08:45:00+00:00,no,0.5800000000000001,357,0.3656716417910448,0.425,0.03432835820895509,5,6.09,0,143.84999999999997,10500.2
2026-01-01 09:15:00+00:00,2026-01-01 09:15:00+00:00,2026-01-01 09:30:00+00:00,no,0.42999999999999994,488,0.473342939481268,0.5750000000000001,0.07665706051873201,14,8.38,0,269.78000000000003,10769.980000000001
2026-01-01 09:32:00+00:00,2026-01-01 09:30:00+00:00,2026-01-01 09:45:00+00:00,no,0.42999999999999994,500,0.5136363636363636,0.5750000000000001,0.0363636363636365,12,8.58,1,-223.57999999999998,10546.400000000001
2026-01-01 09:45:00+00:00,2026-01-01 09:45:00+00:00,2026-01-01 10:00:00+00:00,no,0.63,334,0.311614730878187,0.375,0.03838526912181307,14,5.45,1,-215.86999999999998,10330.53
2026-01-01 10:00:00+00:00,2026-01-01 10:00:00+00:00,2026-01-01 10:15:00+00:00,no,0.55,375,0.37528604118993136,0.455,0.05471395881006859,14,6.5,0,162.24999999999997,10492.78
2026-01-01 10:17:00+00:00,2026-01-01 10:15:00+00:00,2026-01-01 10:30:00+00:00,no,0.86,244,0.09698996655518395,0.14500000000000002,0.03301003344481602,12,2.06,0,32.099999999999994,10524.880000000001
2026-01-01 10:30:00+00:00,2026-01-01 10:30:00+00:00,2026-01-01 10:45:00+00:00,no,0.61,345,0.311614730878187,0.395,0.05838526912181309,14,5.75,0,128.8,10653.68
2026-01-01 11:00:00+00:00,2026-01-01 11:00:00+00:00,2026-01-01 11:15:00+00:00,no,0.63,338,0.311614730878187,0.375,0.03838526912181307,14,5.52,1,-218.46,10435.220000000001
2026-01-01 11:16:00+00:00,2026-01-01 11:15:00+00:00,2026-01-01 11:30:00+00:00,no,0.48,434,0.4485981308411215,0.525,0.05140186915887847,13,7.59,0,218.09,10653.310000000001
2026-01-01 11:33:00+00:00,2026-01-01 11:30:00+00:00,2026-01-01 11:45:00+00:00,no,0.59,361,0.311614730878187,0.41500000000000004,0.07838526912181311,11,6.12,0,141.89000000000001,10795.2
2026-01-01 12:00:00+00:00,2026-01-01 12:00:00+00:00,2026-01-01 12:15:00+00:00,no,0.62,348,0.311614730878187,0.385,0.04838526912181308,14,5.74,0,126.50000000000001,10921.7
2026-01-01 12:15:00+00:00,2026-01-01 12:15:00+00:00,2026-01-01 12:30:00+00:00,no,0.61,358,0.3203883495145631,0.395,0.049611650485436934,14,5.97,0,133.65,11055.35
2026-01-01 12:30:00+00:00,2026-01-01 12:30:00+00:00,2026-01-01 12:45:00+00:00,no,0.6599999999999999,335,0.2602545968882603,0.34500000000000003,0.05974540311173972,14,5.27,0,108.63000000000004,11163.98
