ts,window_open,close_time,side,price,contracts,p_model,market_mid,edge,tau_min,fee,result,pnl,bankroll_after
2026-06-07 23:45:00+00:00,2026-06-07 23:45:00+00:00,2026-06-08 00:00:00+00:00,no,0.54,370,0.3787128712871287,0.47,0.061287128712871244,14,6.44,1,-206.24,9793.76
2026-06-08 00:03:00+00:00,2026-06-08 00:00:00+00:00,2026-06-08 00:15:00+00:00,no,0.63,310,0.31916996047430835,0.375,0.03083003952569165,11,5.06,0,109.63999999999999,9903.4
2026-06-08 00:15:00+00:00,2026-06-08 00:15:00+00:00,2026-06-08 00:30:00+00:00,no,0.5700000000000001,347,0.31916996047430835,0.435,0.09083003952569159,14,5.96,1,-203.75000000000003,9699.65
2026-06-08 00:31:00+00:00,2026-06-08 00:30:00+00:00,2026-06-08 00:45:00+00:00,no,0.45999999999999996,421,0.4408352668213457,0.545,0.07916473317865426,13,7.33,1,-200.99,9498.66
2026-06-08 00:45:00+00:00,2026-06-08 00:45:00+00:00,2026-06-08 01:00:00+00:00,no,0.6799999999999999,279,0.19457013574660634,0.325,0.10542986425339375,14,4.25,0,85.03000000000003,9583.69
2026-06-08 01:01:00+00:00,2026-06-08 01:00:00+00:00,2026-06-08 01:15:00+00:00,no,0.6599999999999999,290,0.2523291925465839,0.345,0.06767080745341615,13,4.56,0,94.04000000000002,9677.730000000001
2026-06-08 01:15:00+00:00,2026-06-08 01:15:00+00:00,2026-06-08 01:30:00+00:00,no,0.6599999999999999,293,0.2523291925465839,0.345,0.06767080745341615,14,4.61,0,95.01000000000003,9772.740000000002
2026-06-08 01:30:00+00:00,2026-06-08 01:30:00+00:00,2026-06-08 01:45:00+00:00,no,0.5700000000000001,342,0.3448275862068965,0.435,0.06517241379310336,14,5.87,1,-200.81000000000003,9571.930000000002
2026-06-08 01:57:00+00:00,2026-06-08 01:45:00+00:00,2026-06-08 02:00:00+00:00,no,0.06699999999999995,500,0.8560371517027864,0.934,0.06696284829721368,2,2.19,1,-35.68999999999997,9536.240000000002
2026-06-08 02:05:00+00:00,2026-06-08 02:00:00+00:00,2026-06-08 02:15:00+00:00,no,0.75,254,0.19457013574660634,0.255,0.035429864253393686,9,3.34,0,60.16,9596.400000000001
2026-06-08 02:22:00+00:00,2026-06-08 02:15:00+00:00,2026-06-08 02:30:00+00:00,yes,0.36,500,0.4111111111111111,0.355,0.031111111111111107,7,8.07,0,-188.07,9408.330000000002
2026-06-08 02:34:00+00:00,2026-06-08 02:30:00+00:00,2026-06-08 02:45:00+00:00,no,0.75,250,0.19457013574660634,0.255,0.035429864253393686,10,3.29,0,59.21,9467.54
2026-06-08 03:03:00+00:00,2026-06-08 03:00:00+00:00,2026-06-08 03:15:00+00:00,no,0.77,245,0.18,0.235,0.030000000000000044,11,3.04,1,-191.69,9275.85
2026-06-08 03:19:00+00:00,2026-06-08 03:15:00+00:00,2026-06-08 03:30:00+00:00,yes,0.32,500,0.3787128712871287,0.315,0.038712871287128706,10,7.62,0,-167.62,9108.23
2026-06-08 03:36:00+00:00,2026-06-08 03:30:00+00:00,2026-06-08 03:45:00+00:00,no,0.5,364,0.4408352668213457,0.505,0.039164733178654224,8,6.37,0,175.63,9283.859999999999
2026-06-08 03:50:00+00:00,2026-06-08 03:45:00+00:00,2026-06-08 04:00:00+00:00,yes,0.31,500,0.3787128712871287,0.305,0.048712871287128715,9,7.49,0,-162.49,9121.369999999999
2026-06-08 04:04:00+00:00,2026-06-08 04:00:00+00:00,2026-06-08 04:15:00+00:00,no,0.8200000000000001,222,0.12261904761904761,0.185,0.037380952380952306,10,2.3,0,37.65999999999998,9159.029999999999
2026-06-08 04:28:00+00:00,2026-06-08 04:15:00+00:00,2026-06-08 04:30:00+00:00,yes,0.036,500,0.12261904761904761,0.0335,0.07661904761904763,1,1.22,0,-19.22,9139.81
2026-06-08 04:45:00+00:00,2026-06-08 04:45:00+00:00,2026-06-08 05:00:00+00:00,yes,0.72,253,0.7970244420828906,0.715,0.057024442082890606,14,3.58,1,67.26,9207.07
2026-06-08 05:00:00+00:00,2026-06-08 05:00:00+00:00,2026-06-08 05:15:00+00:00,yes,0.49,375,0.6388384754990927,0.485,0.1288384754990927,14,6.56,0,-190.31,9016.76
2026-06-08 05:19:00+00:00,2026-06-08 05:15:00+00:00,2026-06-08 05:30:00+00:00,yes,0.74,243,0.8294209702660407,0.735,0.06942097026604067,10,3.28,1,59.900000000000006,9076.66
2026-06-08 06:15:00+00:00,2026-06-08 06:15:00+00:00,2026-06-08 06:30:00+00:00,no,0.6699999999999999,270,0.2523291925465839,0.335,0.05767080745341614,14,4.18,1,-185.07999999999998,8891.58
2026-06-08 06:32:00+00:00,2026-06-08 06:30:00+00:00,2026-06-08 06:45:00+00:00,no,0.51,348,0.4342105263157895,0.495,0.035789473684210496,12,6.09,0,164.43,9056.01
2026-06-08 07:01:00+00:00,2026-06-08 07:00:00+00:00,2026-06-08 07:15:00+00:00,no,0.6699999999999999,270,0.2523291925465839,0.335,0.05767080745341614,13,4.18,1,-185.07999999999998,8870.93
2026-06-08 07:16:00+00:00,2026-06-08 07:15:00+00:00,2026-06-08 07:30:00+00:00,no,0.49,362,0.4111111111111111,0.515,0.07888888888888891,13,6.34,1,-183.72,8687.210000000001
2026-06-08 08:00:00+00:00,2026-06-08 08:00:00+00:00,2026-06-08 08:15:00+00:00,no,0.6799999999999999,255,0.2523291925465839,0.325,0.047670807453416134,14,3.89,0,77.71000000000002,8764.92
